rocktl,	rocktc,	rocktc,	rocktr,	empty,	empty,	empty,	treetl,	treetc,	treetr,
rockml,	empty,	empty,	rockmr,	empty,	empty,	empty,	treeml,	treemc,	treemr,
rockbl,	rockbc,	rockbc,	rockbr,	empty,	empty,	empty,	treebl,	treebc,	treebr,
empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,
empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,
empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,
empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,
empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,
empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,
empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,
empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,
empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,
empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,
empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,
empty,	empty,	empty,	empty,	empty,	empty,	watertl, watertc, watertr, empty,
empty,	empty,	empty,	empty,	empty,	empty,	waterml, empty, watermr, empty,
empty,	empty,	empty,	empty,	empty,	empty,	waterbl, waterbc, waterbr,	empty,
empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,
empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,
empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty
