tree,	tree,	tree,	tree,	tree,	tree,	tree,	tree,	tree,	tree,	tree,	tree,	tree,	tree,	tree,	tree,	tree,	tree,	tree,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	rock,	rock,	empty,	empty,	empty,	empty,	empty,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	rock,	rock,	empty,	empty,	empty,	empty,	empty,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	tree,	tree,	tree,	tree,	tree,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	tree,	tree,	tree,	tree,	tree,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	rock,	rock,	empty,	empty,	empty,	empty,	empty,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	rock,	rock,	empty,	empty,	empty,	empty,	empty,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree,
tree,	tree,	tree,	tree,	tree,	tree,	tree,	tree,	tree,	tree,	tree,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	empty,	tree
